feature,importance,importance_pct
Saldos.Mes.Ant,0.29105967163335117,29.105967163335116
Saldo,0.24592012499032012,24.592012499032013
Limite.Cupo,0.20792268061334698,20.7922680613347
Pagos.Mes.Ant,0.11289091385772691,11.289091385772691
edad,0.037510825758950116,3.7510825758950115
Vtas.Mes.Ant,0.03172689683362002,3.1726896833620017
Vr.Mora,0.016271162777994803,1.6271162777994803
Edad.Mora,0.015729759344495997,1.5729759344495997
contrato,0.015269085375694023,1.5269085375694023
segmento,0.0076318020607394526,0.7631802060739452
estrato,0.006309523882784338,0.6309523882784338
nivel_educativo,0.005736764560343752,0.5736764560343752
cuota_monetaria,0.003112243765617592,0.3112243765617592
bono_lonchera,0.002533063364740463,0.2533063364740463
sub_vivenda,0.00037548118027430616,0.03754811802743062
